Date,Tournament,Prize Winnings
2015-02-09,Dota 2 Asia Championships 2015,"$1,284,158"
2023-06-05,DPC SA 2023 Tour 3: Division I,"$30,000"
2015-07-12,Dota Pit League Season 3,"$126,055"
2012-04-29,It's Gosu Monthly Madness Season 2,"$1,000"
2018-06-16,The International 2018: North America Open Qualifier #1,-
2020-05-09,FVBet Showmatch #2,"$5,000"
2019-02-05,DreamLeague Season 11 North America Qualifier,-
2015-03-16,joinDOTA MLG Pro League Season 1: Pro League America,-
2014-09-07,World E-sport Championships 2014,"$97,881"
2013-02-28,EIZO Cup #1,"$1,635"
2021-02-28,DPC 2021: Season 1 - North America Upper Division,"$30,000"
2014-05-04,ESL One Frankfurt - American Qualifiers,-
2014-03-09,Monster Energy Invitational,"$10,000"
2014-04-13,joinDOTA League Season 1 America,"$1,421"
2016-11-07,Dota Pit League Season 5 American Qualifier,-
2018-03-18,GESC: Indonesia Dota2 Minor,"$110,000"
2022-07-15,DPC NA 2021/2022 Tour 3: Division I,"$30,000"
2017-11-12,DreamLeague Season 8 North America Qualifier,-
2014-04-05,MLG T.K.O. America,"$14,000"
2014-04-02,StarLadder StarSeries Season 9: America,-
2012-03-11,Team Dignitas Invitational,$656
2020-03-24,WeSave! Charity Play - North America,-
2020-04-26,BTS Pro Series: Americas,"$21,000"
2014-06-24,HyperX D2L Western Challenge,"$29,629"
2016-06-22,The International 2016: Americas Open Qualifier #1,-
2013-06-28,DotaCinema Rosh Pit,"$1,000"
2009-12-13,Farm4Fame 2.2,"$1,750"
2016-10-02,Mars Dota 2 League 2016 Autumn,"$112,500"
2016-02-17,Captains Draft 3.0,"$43,454"
2012-03-22,joinDOTA Masters I,$660
2018-07-29,DOTA Summit 9,"$40,000"
2014-09-21,ESL One New York 2014 - American Qualifier,-
2014-11-25,Dota 2 League Season 5 - Western Division,-
2016-06-26,The International 2016: Americas Qualifier,-
2018-02-08,Dota 2 Asia Championships 2018 - North America Qualifier,-
2015-04-03,The Summit 3 - American Qualifiers,-
2019-03-31,MDL Disneyland® Paris Major North America Closed Qualifier,-
2020-02-12,ESL One Los Angeles 2020 North America Closed Qualifier,-
2013-09-29,Electronic Sports World Cup 2013 North America Qualifier,-
2014-11-29,DreamLeague Season 2,"$44,668"
2017-09-24,ESL One Hamburg 2017: North America Qualifier,-
2016-12-18,China Top 2016,"$114,952"
2018-09-21,The Kuala Lumpur Major North America Qualifier,-
2013-05-20,Demon Edge Cup,-
2022-04-22,DPC NA 2021/2022 Tour 2: Division I,"$30,000"
2020-04-02,ESL One Los Angeles 2020 - Online: North America,"$20,000"
2017-01-22,Dota Pit League Season 5,"$62,937"
2014-06-08,The Summit,"$59,558"
2014-09-26,StarLadder StarSeries Season 10: Americas,-
2015-12-13,The Summit 4,"$48,818"
2014-10-26,StarLadder StarSeries Season 10,"$105,291"
2022-12-10,BTS Pro Series Season 13: Americas,"$16,000"
2012-11-11,AVerMedia Dota 2 Cup,"$1,500"
2015-08-08,The International 2015,"$6,634,661"
2014-05-10,The Summit 1 American Qualifiers,-
2019-10-07,MDL Chengdu Major North America Closed Qualifier,-
2017-05-28,The Manila Masters,"$125,000"
2013-09-26,Bigpoint Battle #8,"$2,001"
