ID,Name,Join Date,Leave Date
Lxthl,Tony Campbell Jr.,2014-12-21,2016-01-21
iGotUrPistola,Justin Lee Deese,2014-12-21,2015-04-09
Tapping Buttons,Josbe Valadez,2017-05-21,2017-11-03
Snip3down,Eric Wrona,2014-11-21,2016-08-24
OGRE 2,Tom Ryan,2017-02-23,2017-05-07
Victory X,Cameron Thorlakson,2016-08-24,2016-10-18
PreDevoNatoR,Devon Layton,2017-01-12,2017-02-23
Ninja,Richard Tyler Blevins,2016-08-24,2017-01-12
StelluR,Braedon Boettcher,2016-10-18,2017-01-12
Suspector,Ayden Hill,2016-03-22,2016-08-24
ContrA,Cody Szczodrowski,2017-01-12,2017-05-07
Commonly,Hamza Abbaali,2016-01-23,2016-03-22
iGotUrPistola,Justin Lee Deese,2014-11-21,2014-12-21
Roy,Justin Brown,2014-11-21,2017-11-03
Naded,Brett Leonard,2017-05-07,2017-05-21
Lunchbox,Jason Brown,2014-11-21,2017-11-03
Falcated,Michael Garcia,2017-05-07,2017-11-03
